Make,Model,Mileage,Year,Salesperson,Customer Name,Cost Price,Service Cost,Profit
Ford,Bronco,48830,2019,Emily Davis,Robert Johnson,31226,2260,4338
Ford,Explorer,93400,2015,Michael Brown,William Jones,24221,1739,3296
Ford,Edge,37411,2015,John Carter,James Smith,27428,1085,4496
Ford,Edge,52017,2016,Michael Brown,Robert Miller,44369,1669,3332
Ford,Escape,96060,2024,Michael Brown,Michael Davis,25149,1130,3461
Ford,Mustang,50287,2015,Emily Davis,Jennifer Martinez,19594,1685,3967
Ford,Edge,73908,2017,John Carter,Michael Davis,32197,524,6886
Ford,Explorer,106397,2022,Emily Davis,Mary Johnson,41238,1771,8385
Ford,F-150,11317,2024,John Carter,Michael Martinez,15262,1825,-3507
Ford,Bronco,68165,2016,Emily Davis,Elizabeth Smith,30024,1786,6295
Ford,Mustang,18961,2021,Emily Davis,James Johnson,37097,941,884
Ford,Edge,74333,2022,John Carter,John Davis,16316,2154,6160
Ford,Escape,68780,2018,Michael Brown,Linda Rodriguez,39300,1602,8061
Ford,Bronco,117139,2024,Michael Brown,William Johnson,40346,2075,9745
Ford,Bronco,81828,2018,Emily Davis,John Smith,15981,1684,-4967
Ford,Escape,35544,2022,Emily Davis,Mary Martinez,39134,2943,3344
Ford,Mustang,39829,2024,Sarah Wilson,James Jones,31816,1350,3510
Ford,Edge,78159,2021,Michael Brown,Elizabeth Rodriguez,40565,2246,3951
Ford,F-150,88729,2020,John Carter,Michael Martinez,44658,756,6640
Ford,Escape,62898,2023,Sarah Wilson,William Miller,47888,2976,7906
Ford,F-150,51195,2023,Emily Davis,Linda Jones,33416,2317,8294
Ford,Edge,102341,2021,Michael Brown,Elizabeth Smith,23414,616,3933
Ford,Mustang,26586,2020,Emily Davis,Linda Brown,34445,2112,7527
Ford,Explorer,18369,2023,Emily Davis,James Rodriguez,41038,2492,2786
Ford,Mustang,88463,2019,John Carter,Elizabeth Williams,41018,945,315
Ford,Edge,40066,2019,John Carter,Elizabeth Miller,35844,941,7971
Ford,F-150,68314,2020,Michael Brown,James Garcia,21479,1190,5727
Ford,Mustang,5588,2017,Sarah Wilson,Patricia Williams,23209,2783,2870
Ford,Escape,24443,2020,Sarah Wilson,Linda Brown,19170,1490,7554
Ford,Bronco,64023,2016,Emily Davis,Elizabeth Jones,25926,2295,4646
Ford,Explorer,54659,2024,Sarah Wilson,Robert Martinez,44432,956,8542
Ford,Escape,55281,2024,Sarah Wilson,William Williams,34215,869,9828
Ford,Edge,26180,2020,John Carter,Mary Martinez,41201,2568,6791
Ford,Explorer,19289,2015,Emily Davis,Robert Brown,46859,1908,5637
Ford,F-150,25169,2023,Emily Davis,Linda Martinez,48498,2254,7687
Ford,Bronco,24095,2020,Michael Brown,Michael Smith,40055,1914,8692
Ford,Bronco,25011,2024,John Carter,Mary Smith,31423,919,8928
Ford,Bronco,17233,2018,Sarah Wilson,Patricia Garcia,46056,1359,7895
Ford,F-150,41891,2022,Emily Davis,Jennifer Williams,35607,1364,8523
Ford,Escape,27593,2016,John Carter,Elizabeth Martinez,34697,1626,8783
Ford,Escape,64243,2017,Michael Brown,Jennifer Miller,22399,1093,3248
Ford,Edge,107833,2015,Sarah Wilson,James Williams,43818,2465,3847
Ford,Explorer,102044,2017,John Carter,John Smith,36334,2346,4179
Ford,Edge,88182,2023,Sarah Wilson,James Martinez,28356,1831,9577
Ford,Explorer,85045,2023,John Carter,Jennifer Martinez,25060,816,3855
Ford,Escape,107314,2021,Sarah Wilson,William Garcia,26592,1959,7587
Ford,F-150,98273,2016,John Carter,Robert Garcia,17961,1265,5018
Ford,Edge,75238,2023,Michael Brown,Jennifer Miller,46608,1976,6869
Ford,Escape,21532,2016,Sarah Wilson,Michael Williams,18956,1243,4821
Ford,Escape,102934,2021,Michael Brown,Robert Smith,22760,1728,2568
Ford,Bronco,59795,2017,John Carter,Elizabeth Smith,46330,2740,8010
Ford,F-150,76423,2022,Michael Brown,Elizabeth Martinez,36311,1398,2354
Ford,Mustang,73448,2024,Michael Brown,Michael Brown,21795,2956,6957
Ford,Mustang,49004,2020,Sarah Wilson,James Johnson,29106,786,5500
Ford,Explorer,95327,2024,John Carter,Jennifer Johnson,15596,1796,3455
Ford,F-150,43420,2018,Emily Davis,Jennifer Martinez,33483,2585,2572
Ford,Bronco,13907,2023,Sarah Wilson,James Johnson,34155,1785,3437
Ford,Explorer,38240,2016,Emily Davis,James Smith,47865,1484,-4688
Ford,Explorer,77572,2021,Sarah Wilson,Mary Davis,20578,2550,5697
Ford,Edge,46801,2017,John Carter,Robert Williams,20763,1892,4046
Ford,Mustang,9884,2022,Sarah Wilson,John Davis,30802,1394,6732
Ford,Escape,72849,2016,John Carter,William Smith,20661,794,2876
Ford,Mustang,60865,2016,John Carter,James Smith,17006,2223,7102
Ford,Bronco,24940,2024,Emily Davis,Robert Rodriguez,40391,1446,5066
Ford,Escape,16700,2018,Sarah Wilson,Mary Williams,37705,1554,3354
Ford,Mustang,42535,2018,Michael Brown,William Rodriguez,45734,2694,5188
Ford,Escape,91080,2017,Michael Brown,Elizabeth Smith,49882,2674,8550
Ford,Escape,25363,2024,Emily Davis,Patricia Williams,45251,1003,804
Ford,Escape,9243,2015,Emily Davis,Elizabeth Johnson,24657,904,7905
Ford,Edge,81296,2024,John Carter,Jennifer Rodriguez,42463,1523,7403
Ford,Edge,56489,2020,Emily Davis,Mary Miller,47015,1710,8131
Ford,Explorer,92850,2016,Emily Davis,John Davis,28920,1821,8624
Ford,Edge,110746,2021,John Carter,James Martinez,46040,2731,2282
Ford,F-150,72380,2021,Sarah Wilson,Elizabeth Brown,18151,1653,5494
Ford,Explorer,112674,2020,Michael Brown,Jennifer Williams,43390,1145,8407
Ford,Escape,70010,2016,Michael Brown,James Johnson,28722,1520,8966
Ford,F-150,116429,2024,John Carter,Robert Johnson,35335,2635,4708
Ford,Edge,100724,2017,Emily Davis,Robert Miller,20706,2865,9672
Ford,Mustang,24441,2015,Michael Brown,Michael Garcia,27056,637,7509
Ford,F-150,90099,2023,Michael Brown,Patricia Johnson,28900,2211,3117
Ford,Explorer,45919,2021,Michael Brown,Michael Johnson,25406,2419,6870
Ford,Bronco,84960,2024,Emily Davis,Jennifer Williams,19825,509,2552
Ford,Explorer,69186,2017,John Carter,John Williams,38005,2404,2092
Ford,Mustang,91427,2020,John Carter,Robert Johnson,42046,1890,2200
Ford,Mustang,48423,2018,Michael Brown,Jennifer Rodriguez,45872,2497,4354
Ford,Escape,114246,2019,Emily Davis,Linda Smith,18562,768,5782
Ford,Explorer,75136,2021,John Carter,Elizabeth Smith,45972,2977,6534
Ford,Edge,88591,2018,Michael Brown,Elizabeth Jones,21289,575,9274
Ford,Mustang,65537,2020,Emily Davis,Patricia Johnson,24152,2485,7413
Ford,Escape,46570,2021,Sarah Wilson,Jennifer Garcia,49260,2760,3712
Ford,F-150,46581,2016,Sarah Wilson,Jennifer Rodriguez,41588,2000,9936
Ford,Escape,60879,2020,John Carter,Mary Martinez,27874,905,5106
Ford,Explorer,48642,2018,Sarah Wilson,Patricia Martinez,44718,1996,4262
Ford,Bronco,103113,2019,Sarah Wilson,Jennifer Johnson,20306,1601,9250
Ford,Edge,38729,2019,Michael Brown,William Smith,19042,1018,5068
Ford,Edge,55576,2024,Emily Davis,Patricia Jones,34214,1672,2599
Ford,Escape,64264,2016,Sarah Wilson,Elizabeth Brown,20913,1067,9795
Ford,Bronco,119328,2023,Sarah Wilson,Jennifer Miller,18646,2676,2855
Ford,F-150,43122,2020,Michael Brown,Mary Brown,43897,987,3619
Ford,Escape,18905,2015,Emily Davis,John Davis,49475,956,7837
Ford,Mustang,42850,2022,Emily Davis,James Miller,21396,2865,2399
Ford,Edge,56148,2021,Emily Davis,James Williams,39183,1580,6833
Ford,Edge,9656,2015,Emily Davis,Jennifer Rodriguez,25248,1369,9667
Ford,Explorer,102935,2016,Sarah Wilson,William Brown,42591,2716,5130
Ford,Edge,35420,2015,John Carter,Jennifer Johnson,30004,2334,6153
Ford,Mustang,59692,2024,Michael Brown,James Davis,23748,1312,4231
Ford,F-150,18683,2021,Emily Davis,Mary Brown,23741,1607,618
Ford,Explorer,60672,2024,Sarah Wilson,James Davis,16606,2824,4555
Ford,Escape,35609,2023,Emily Davis,James Jones,46085,1171,3500
Ford,Explorer,26045,2019,Emily Davis,Elizabeth Davis,20581,2480,3463
Ford,Explorer,71236,2020,John Carter,Jennifer Brown,27207,2104,4248
Ford,Mustang,109314,2019,Michael Brown,Patricia Brown,29090,1301,805
Ford,Escape,8513,2024,Michael Brown,Elizabeth Johnson,16956,591,656
Ford,Edge,5911,2021,Emily Davis,William Martinez,41607,2075,7988
Ford,Edge,100775,2023,Sarah Wilson,Robert Garcia,33356,2882,5409
Ford,Mustang,96546,2016,Emily Davis,Elizabeth Davis,34506,994,4049
Ford,F-150,111330,2021,John Carter,Linda Smith,21963,2882,7957
Ford,F-150,55974,2017,John Carter,James Miller,27812,2131,5203
Ford,Explorer,22491,2024,Emily Davis,Jennifer Garcia,41621,1944,7359
Ford,Explorer,70877,2018,John Carter,Mary Rodriguez,18037,2542,4178
Ford,Explorer,39647,2021,Emily Davis,John Brown,24373,2010,2610
Ford,Escape,59741,2017,Michael Brown,Mary Martinez,26908,736,9310
Ford,Mustang,74892,2021,Emily Davis,Robert Garcia,21734,1778,6565
Ford,Bronco,62140,2020,Emily Davis,Patricia Rodriguez,27839,1505,7272
Ford,Bronco,77787,2020,Michael Brown,Linda Jones,16653,1266,8371
Ford,Mustang,68073,2019,Michael Brown,Elizabeth Jones,20274,1428,3685
Ford,Mustang,115514,2015,Michael Brown,Mary Rodriguez,32317,796,-2309
Ford,Escape,54343,2020,Emily Davis,Linda Brown,27552,1620,7885
Ford,F-150,101376,2018,Michael Brown,William Jones,41227,1656,8969
Ford,Escape,53882,2024,John Carter,Michael Smith,28116,659,3468
Ford,Mustang,13253,2017,Sarah Wilson,Elizabeth Johnson,19143,2271,3235
Ford,Bronco,62870,2022,Emily Davis,William Garcia,22518,1881,9658
Ford,Edge,96452,2019,Emily Davis,William Johnson,24631,2425,6103
Ford,Escape,70542,2018,Sarah Wilson,Linda Jones,28340,2610,-3506
Ford,Bronco,84772,2016,John Carter,Mary Davis,26922,2883,5478
Ford,Mustang,52675,2017,John Carter,William Smith,32848,1277,4702
Ford,Mustang,41796,2023,Sarah Wilson,William Smith,33180,1864,6424
Ford,Explorer,72691,2023,Michael Brown,Linda Martinez,46743,2451,2261
Ford,Explorer,99195,2015,Michael Brown,William Garcia,16248,1155,3401
Ford,Escape,73325,2021,Michael Brown,Linda Brown,34306,2927,7280
Ford,Edge,63847,2023,Michael Brown,Linda Martinez,20390,1192,8664
Ford,F-150,42601,2019,Sarah Wilson,Elizabeth Johnson,16808,2096,9669
Ford,Bronco,87410,2021,Emily Davis,Jennifer Rodriguez,47345,1412,3470
Ford,Edge,65397,2021,Michael Brown,James Miller,49624,719,5969
Ford,F-150,21438,2020,Michael Brown,Jennifer Garcia,44078,614,6489
Ford,F-150,74214,2018,Sarah Wilson,John Brown,43114,2715,7704
Ford,Explorer,41734,2024,Emily Davis,Linda Davis,41445,895,6708
Ford,Edge,94824,2023,Michael Brown,Patricia Davis,33763,1032,4073
Ford,F-150,106723,2022,Michael Brown,Mary Jones,24388,1702,481
Ford,Bronco,65090,2019,John Carter,John Rodriguez,49588,1724,6630
Ford,Escape,70656,2020,Michael Brown,John Rodriguez,32944,2411,4754
Ford,Escape,47822,2023,Michael Brown,Linda Johnson,24158,1939,644
Ford,Escape,69520,2015,Michael Brown,Jennifer Martinez,32534,1717,7841
Ford,Edge,36791,2015,Sarah Wilson,Patricia Johnson,49181,2052,5701
Ford,Escape,37846,2015,Sarah Wilson,James Davis,19778,1674,7965
Ford,F-150,19085,2020,Emily Davis,Mary Johnson,45757,561,7857
Ford,Bronco,87294,2016,Emily Davis,Jennifer Jones,42088,2292,4797
Ford,F-150,45869,2019,John Carter,John Smith,18222,1000,502
Ford,F-150,90247,2023,Sarah Wilson,Patricia Garcia,18334,2434,925
Ford,Bronco,23015,2020,Emily Davis,James Brown,31519,2055,5763
Ford,Edge,118786,2017,Sarah Wilson,Linda Garcia,46925,2214,6002
Ford,Bronco,26697,2024,Emily Davis,Elizabeth Johnson,15481,2749,3425
Ford,F-150,92833,2021,John Carter,Mary Davis,44532,1652,4837
Ford,Mustang,62111,2020,Emily Davis,William Rodriguez,26580,883,6118
Ford,Escape,113865,2016,Sarah Wilson,Linda Martinez,40921,774,8958
Ford,Mustang,10764,2016,Michael Brown,Linda Martinez,19688,949,5494
Ford,Edge,32123,2022,Emily Davis,John Johnson,25489,2808,2395
Ford,Escape,66436,2024,Michael Brown,William Martinez,27356,2331,9604
Ford,Edge,44014,2022,John Carter,Robert Martinez,25079,1591,2612
Ford,Edge,115598,2018,Michael Brown,Elizabeth Jones,25978,823,5021
Ford,Edge,35303,2024,John Carter,Mary Brown,15854,2888,7745
Ford,F-150,21655,2019,John Carter,William Johnson,39444,1387,7518
Ford,Bronco,7141,2015,Emily Davis,Michael Rodriguez,42730,2400,2279
Ford,Bronco,108883,2020,John Carter,James Brown,24595,1380,2869
Ford,Mustang,46711,2016,Emily Davis,Robert Miller,19907,2239,9260
Ford,F-150,63432,2020,John Carter,William Rodriguez,38414,1815,5453
Ford,Bronco,97558,2015,Sarah Wilson,Michael Rodriguez,38875,2264,2369
Ford,Bronco,97793,2017,Michael Brown,Robert Rodriguez,19219,773,7849
Ford,Explorer,5958,2021,Sarah Wilson,William Rodriguez,16408,2014,9015
Ford,Escape,26846,2022,John Carter,Robert Miller,43588,1229,7585
Ford,Edge,61043,2022,Michael Brown,James Smith,41755,1235,6327
Ford,F-150,97064,2024,Sarah Wilson,James Davis,26484,2738,6378
Ford,F-150,71636,2016,Sarah Wilson,Elizabeth Jones,16320,1052,7604
Ford,Escape,52946,2020,Emily Davis,Patricia Davis,19125,502,4772
Ford,Bronco,88143,2024,Sarah Wilson,Robert Garcia,48386,1775,8883
Ford,F-150,40933,2019,Michael Brown,Mary Rodriguez,27117,1623,8786
Ford,F-150,10406,2020,John Carter,Michael Miller,30003,2326,5629
Ford,Escape,15941,2024,Michael Brown,William Miller,15356,2937,8707
Ford,Escape,40268,2019,John Carter,Robert Garcia,33814,2670,7583
Ford,Edge,19208,2020,John Carter,John Rodriguez,24167,2036,3457
Ford,Mustang,38319,2020,Michael Brown,Elizabeth Smith,21356,2728,9392
Ford,Explorer,119055,2019,John Carter,Elizabeth Martinez,36663,2449,8400
Ford,Escape,92690,2018,John Carter,Jennifer Brown,32905,2876,8641
Ford,Explorer,30367,2015,Michael Brown,Robert Davis,28539,2913,3101
Ford,Bronco,20003,2016,Sarah Wilson,Michael Miller,42785,2135,3368
Ford,Mustang,119030,2020,Michael Brown,William Miller,48320,551,4352
Ford,Mustang,59822,2021,Sarah Wilson,William Smith,19269,2989,7442
Ford,F-150,51017,2017,Emily Davis,Jennifer Johnson,47519,2161,8665
Ford,Bronco,50121,2016,Sarah Wilson,Michael Rodriguez,39204,2958,5988
Ford,Edge,47662,2020,Sarah Wilson,Jennifer Johnson,45425,1403,3752
Ford,Escape,95896,2024,Michael Brown,William Davis,45243,766,7650
Ford,Mustang,41909,2019,Emily Davis,Jennifer Johnson,15792,2919,5436
Ford,F-150,73553,2016,John Carter,James Garcia,28654,1583,3427
Ford,Explorer,13204,2023,Emily Davis,Mary Garcia,24253,1304,372
Ford,Bronco,95369,2017,Michael Brown,Jennifer Martinez,47490,2485,6169
Ford,Mustang,39073,2023,Sarah Wilson,William Jones,48953,1899,4384
Ford,Mustang,22101,2018,Michael Brown,John Johnson,30546,2735,5607
Ford,Edge,34635,2023,John Carter,William Johnson,44257,2979,7162
Ford,Mustang,47188,2016,Michael Brown,Jennifer Williams,24445,844,3873
Ford,Escape,62569,2020,Sarah Wilson,Mary Williams,45354,2105,5063
Ford,Edge,117895,2023,John Carter,Linda Martinez,27076,1411,5181
Ford,Mustang,110911,2024,Emily Davis,Elizabeth Garcia,16623,2302,5064
Ford,Edge,9262,2021,John Carter,Jennifer Rodriguez,34094,1264,4014
Ford,Explorer,102464,2021,Emily Davis,William Miller,26155,1430,9274
Ford,Mustang,95717,2017,Emily Davis,Jennifer Johnson,39691,764,5436
Ford,F-150,63333,2017,Emily Davis,James Miller,21069,827,2833
Ford,Explorer,94902,2019,John Carter,Robert Brown,25646,2918,3260
Ford,Explorer,71567,2015,Emily Davis,Patricia Williams,42587,2411,4702
Ford,Explorer,91680,2021,Sarah Wilson,John Martinez,20414,1598,5385
Ford,Edge,8322,2021,Michael Brown,Robert Williams,19987,2764,6061
Ford,Escape,37110,2016,Michael Brown,Patricia Smith,23512,1967,6693
Ford,Escape,74718,2018,Sarah Wilson,Elizabeth Williams,21704,2321,9582
Ford,Bronco,47208,2021,Sarah Wilson,William Rodriguez,29315,551,3503
Ford,Escape,11988,2024,Michael Brown,John Smith,42514,2128,712
Ford,F-150,43232,2016,Michael Brown,Michael Garcia,47051,1826,7371
Ford,Edge,60163,2020,Michael Brown,Patricia Garcia,16846,2327,6057
Ford,Bronco,6010,2020,Michael Brown,Elizabeth Brown,17754,2173,5500
Ford,F-150,73285,2021,Sarah Wilson,William Jones,41388,1687,794
Ford,Escape,26083,2015,Sarah Wilson,Elizabeth Miller,27096,1038,9191
Ford,Escape,28843,2024,Emily Davis,Patricia Williams,43550,2958,5803
Ford,Escape,11926,2015,John Carter,Elizabeth Martinez,38186,1548,3748
Ford,F-150,80768,2023,Emily Davis,John Johnson,16793,2933,8527
Ford,Explorer,90244,2024,John Carter,John Rodriguez,21396,751,4518
Ford,F-150,35854,2017,John Carter,Elizabeth Smith,44754,2464,7922
Ford,Explorer,15015,2018,John Carter,John Brown,28442,1869,4236
Ford,Escape,115004,2024,Emily Davis,Robert Jones,36473,2943,3823
Ford,Mustang,115895,2022,Michael Brown,William Miller,46438,1086,8289
Ford,Edge,118214,2016,John Carter,Mary Williams,42830,881,3297
Ford,Mustang,84701,2023,John Carter,William Davis,18135,2884,6572
Ford,Explorer,83231,2017,Emily Davis,Robert Brown,27790,2761,5862
Ford,Edge,71492,2021,Sarah Wilson,Patricia Miller,22456,2147,3879
Ford,F-150,116955,2022,Sarah Wilson,John Brown,34431,2677,6556
Ford,Bronco,34315,2019,Emily Davis,Linda Davis,45130,1436,5508
Ford,Explorer,52543,2021,Sarah Wilson,Robert Williams,30252,2933,7909
Ford,Escape,12072,2015,Michael Brown,Patricia Garcia,34048,1420,4589
Ford,F-150,48131,2017,Sarah Wilson,Elizabeth Davis,29903,1038,3035
Ford,Bronco,23920,2022,Emily Davis,John Jones,41910,1673,5071
Ford,Mustang,112155,2017,Michael Brown,Patricia Garcia,42501,2044,7482
Ford,Explorer,77731,2016,Michael Brown,Linda Garcia,19887,2546,6546
Ford,Explorer,48963,2024,Sarah Wilson,Jennifer Rodriguez,44927,2630,4898
Ford,Explorer,19725,2020,Emily Davis,Michael Johnson,31856,1777,8286
Ford,Explorer,118542,2019,John Carter,Robert Johnson,33528,770,5395
Ford,Explorer,73849,2016,Michael Brown,James Brown,20335,845,2775
Ford,Edge,113030,2019,Sarah Wilson,Mary Miller,28671,1222,7346
Ford,Explorer,111929,2024,Michael Brown,Patricia Smith,48010,2013,2799
Ford,Mustang,73164,2018,Michael Brown,Patricia Jones,37801,2198,2411
Ford,F-150,56402,2016,Michael Brown,James Smith,47027,2115,7352
Ford,F-150,95092,2023,Michael Brown,James Miller,38529,2057,902
Ford,Explorer,119421,2019,Michael Brown,John Johnson,19280,2931,8711
Ford,Mustang,84504,2017,Michael Brown,Mary Jones,35020,1652,2748
Ford,Explorer,28755,2015,John Carter,Patricia Johnson,41241,1106,5206
Ford,Escape,21852,2024,Michael Brown,Patricia Smith,48542,1072,9549
Ford,Edge,79382,2023,Michael Brown,James Smith,18790,2839,2401
Ford,Bronco,94063,2015,Michael Brown,Mary Jones,21378,1253,4887
Ford,Bronco,5944,2016,Emily Davis,William Brown,46216,2346,2263
Ford,Edge,111648,2020,Sarah Wilson,Patricia Davis,17380,1060,3804
Ford,Bronco,109787,2016,Emily Davis,Elizabeth Miller,43653,2547,3980
Ford,Escape,9560,2018,Michael Brown,Michael Miller,26558,2739,7904
Ford,Edge,23699,2023,Sarah Wilson,Michael Williams,39049,909,9480
Ford,Explorer,58629,2024,Sarah Wilson,Elizabeth Smith,45415,1652,3610
Ford,Explorer,21093,2016,Emily Davis,Elizabeth Martinez,18387,1656,2233
Ford,Mustang,41049,2015,Emily Davis,Robert Smith,36930,2048,6720
Ford,F-150,68338,2020,Emily Davis,Michael Smith,32234,546,9364
Ford,Escape,40445,2021,Sarah Wilson,Mary Smith,32510,2182,8341
Ford,Explorer,78522,2023,Emily Davis,Linda Miller,22040,1616,8517
Ford,Mustang,81309,2021,Sarah Wilson,Elizabeth Johnson,40760,2659,9225
Ford,F-150,34248,2016,Michael Brown,Mary Smith,44157,2402,3443
Ford,Escape,56316,2022,Sarah Wilson,Robert Johnson,16887,1338,7499
Ford,Mustang,103239,2018,Michael Brown,Jennifer Jones,45601,2091,3830
Ford,F-150,15212,2023,Sarah Wilson,Jennifer Jones,30381,1909,8985
Ford,F-150,65403,2022,Emily Davis,Linda Garcia,20019,1204,663
Ford,Explorer,11099,2017,Michael Brown,Linda Martinez,29718,1253,7104
Ford,Explorer,18705,2018,Emily Davis,Mary Jones,32850,2495,8581
Ford,Escape,81045,2017,John Carter,Michael Rodriguez,40371,1779,5470
Ford,F-150,82706,2021,Emily Davis,Jennifer Davis,30829,1130,3606
Ford,Explorer,87748,2024,Emily Davis,William Jones,21652,626,-1475
Ford,Edge,11953,2019,Sarah Wilson,John Miller,15668,2377,8670
Ford,Bronco,55387,2019,John Carter,John Brown,33407,1024,7045
Ford,Explorer,91107,2018,Sarah Wilson,Jennifer Brown,37279,815,7523
Ford,Mustang,38504,2020,Michael Brown,Mary Miller,34427,2524,7764
Ford,Bronco,40942,2021,Sarah Wilson,Michael Davis,19090,2618,4016
Ford,F-150,111258,2021,Emily Davis,Mary Jones,38148,2503,7930
Ford,Bronco,69125,2017,Emily Davis,Robert Brown,32818,2385,3224
Ford,Explorer,54687,2017,Emily Davis,Elizabeth Smith,20992,2968,7214
Ford,F-150,29585,2015,Michael Brown,James Rodriguez,30359,625,8994
Ford,Edge,98950,2015,John Carter,John Smith,29604,2225,7927
Ford,Bronco,72847,2021,Emily Davis,Robert Brown,22238,2112,9227
Ford,Edge,48637,2023,Emily Davis,John Martinez,22854,2711,4592
Ford,Mustang,33009,2017,Emily Davis,Mary Miller,40416,2570,6082
Ford,Escape,65241,2021,John Carter,Michael Johnson,19513,1134,2099
Ford,Escape,106253,2020,Emily Davis,Robert Rodriguez,34640,790,9633
Ford,Escape,102687,2021,Sarah Wilson,John Davis,37020,1813,8561
Ford,Bronco,10600,2015,Michael Brown,Jennifer Garcia,20265,2419,8559
Ford,Escape,101173,2018,Emily Davis,Elizabeth Miller,16286,1151,9366
Ford,F-150,12944,2023,Michael Brown,James Miller,16467,2886,7076
Ford,F-150,10644,2022,Michael Brown,Linda Smith,42528,2663,3903
Ford,Explorer,75235,2023,Sarah Wilson,Linda Rodriguez,31687,2148,6713
Ford,Bronco,79412,2019,John Carter,Mary Smith,41301,2742,9231
Ford,Edge,83961,2017,Sarah Wilson,Jennifer Brown,19991,1050,-2217
Ford,Explorer,48712,2017,Emily Davis,Robert Jones,47470,2819,997
Ford,Mustang,16524,2024,Sarah Wilson,Elizabeth Garcia,27597,2978,4010
Ford,Escape,117891,2020,Sarah Wilson,Jennifer Johnson,17977,2609,412
Ford,Explorer,99646,2017,John Carter,Elizabeth Jones,42525,1236,4716
Ford,Edge,28373,2022,John Carter,Jennifer Garcia,32934,2177,2212
Ford,Escape,96512,2024,Sarah Wilson,William Jones,36296,1329,3444
Ford,Escape,79507,2023,Sarah Wilson,William Rodriguez,25367,1682,7885
Ford,Bronco,12196,2018,John Carter,James Davis,23609,907,5516
Ford,Explorer,37058,2020,Sarah Wilson,Robert Johnson,29729,1753,3551
Ford,Explorer,29807,2017,Sarah Wilson,Mary Johnson,32202,1218,7508
Ford,F-150,7719,2018,Michael Brown,John Smith,17788,1923,3664
Ford,Mustang,80607,2024,Sarah Wilson,John Martinez,29495,2577,8518
Ford,F-150,91660,2015,Sarah Wilson,Patricia Williams,43047,695,2631
Ford,Mustang,60432,2022,John Carter,Elizabeth Miller,21516,1256,5673
Ford,Edge,101286,2024,Emily Davis,Elizabeth Miller,48023,682,2024
Ford,Mustang,104094,2015,Emily Davis,Jennifer Brown,17792,2712,5549
Ford,Mustang,11784,2022,John Carter,James Miller,41416,1493,7286
Ford,F-150,30334,2020,Sarah Wilson,Linda Garcia,29184,2129,7106
Ford,Escape,50687,2017,John Carter,Linda Davis,26648,2390,4932
Ford,Edge,101872,2024,John Carter,Michael Jones,43619,1003,3798
Ford,F-150,14702,2017,Emily Davis,James Martinez,18293,1113,3689
Ford,Bronco,35825,2019,John Carter,Mary Garcia,19717,980,7210
Ford,Explorer,16990,2017,Michael Brown,James Garcia,26948,504,3417
Ford,Explorer,85719,2019,John Carter,Patricia Rodriguez,21380,1797,3068
Ford,Bronco,11197,2021,John Carter,Elizabeth Brown,45777,1493,5206
Ford,Escape,113949,2022,Emily Davis,Jennifer Brown,29600,1481,4224
